date,action,rule,interface_in,ipsrc,ipdst,proto,portsrc,portdst,year,month,day,timestamp,portsrc_range,portdst_range,hour,ipsrc_class,ipdst_class,isprivatesrc,isprivatedst
2024-03-10 14:41:39,PERMIT,3.0,eth0,192.168.4.1,172.17.0.2,TCP,47562.0,20.0,2024,3,10,14:41:39,Registered,well-known,14,C,B,Private,Private
2024-03-10 14:41:39,PERMIT,3.0,eth0,172.156.2.26,172.17.0.2,TCP,47562.0,20.0,2024,3,10,14:41:39,Registered,well-known,14,B,B,Private,Private
2024-03-10 14:41:39,PERMIT,3.0,eth0,192.168.1.0,172.17.0.2,TCP,47562.0,20.0,2024,3,10,14:41:39,Registered,well-known,14,C,B,Private,Private
2024-03-10 14:41:39,PERMIT,3.0,eth0,10.10.1.101,172.17.0.2,TCP,47562.0,20.0,2024,3,10,14:41:39,Registered,well-known,14,A,B,Private,Private
2024-03-10 14:45:56,DENY,34.0,eth0,163.105.149.177,172.17.0.2,TCP,36958.0,143.0,2024,3,10,14:45:56,Registered,well-known,14,B,B,Public,Private
2024-03-10 14:45:56,DENY,34.0,eth0,172.17.0.3,172.17.0.2,TCP,36958.0,143.0,2024,3,10,14:45:56,Registered,well-known,14,B,B,Private,Private
2024-03-10 14:45:56,DENY,34.0,eth0,132.55.150.188,172.17.0.2,TCP,36958.0,143.0,2024,3,10,14:45:56,Registered,well-known,14,B,B,Public,Private
2024-03-10 14:45:56,DENY,34.0,eth0,28.22.46.114,172.17.0.2,TCP,36958.0,143.0,2024,3,10,14:45:56,Registered,well-known,14,A,B,Public,Private
2024-03-10 14:45:56,DENY,34.0,eth0,197.83.32.193,172.17.0.2,TCP,36958.0,143.0,2024,3,10,14:45:56,Registered,well-known,14,C,B,Public,Private
2024-03-10 14:45:56,PERMIT,2.0,eth0,163.105.149.177,172.17.0.2,TCP,36958.0,23.0,2024,3,10,14:45:56,Registered,well-known,14,B,B,Public,Private
2024-03-10 14:45:56,PERMIT,2.0,eth0,172.17.0.3,172.17.0.2,TCP,36958.0,23.0,2024,3,10,14:45:56,Registered,well-known,14,B,B,Private,Private
2024-03-10 14:45:56,PERMIT,2.0,eth0,132.55.150.188,172.17.0.2,TCP,36958.0,23.0,2024,3,10,14:45:56,Registered,well-known,14,B,B,Public,Private
2024-03-10 14:45:56,PERMIT,2.0,eth0,28.22.46.114,172.17.0.2,TCP,36958.0,23.0,2024,3,10,14:45:56,Registered,well-known,14,A,B,Public,Private
2024-03-10 14:45:56,PERMIT,2.0,eth0,197.83.32.193,172.17.0.2,TCP,36958.0,23.0,2024,3,10,14:45:56,Registered,well-known,14,C,B,Public,Private
2024-03-10 14:45:56,PERMIT,4.0,eth0,163.105.149.177,172.17.0.2,TCP,36958.0,80.0,2024,3,10,14:45:56,Registered,well-known,14,B,B,Public,Private
2024-03-10 14:45:56,PERMIT,4.0,eth0,172.17.0.3,172.17.0.2,TCP,36958.0,80.0,2024,3,10,14:45:56,Registered,well-known,14,B,B,Private,Private
